guideword,grammar,example,level,type,scene_uid,uid
forme interrogative,poser une question sur la nationalité à l’oral ou à l’écrit de façon formelle ou informelle,"Quelle est ta nationalité ?
Quelle est votre nationalité ?",A1,Adjectives & Adverbs,12,24
avoir - présent,conjuguer le verbe avoir aux formes je/tu/vous au présent de l’indicatif,"J'ai un frère.
Tu as un chien.
Vous avez trois enfants.",A1,Verbs Tenses & Conjugation,13,25
tu vs vous,utiliser le bon pronom sujet (tu ou vous) selon le niveau de formalité ou le nombre de personnes,"Tu as un chat ?
Vous avez un hamster ?",A1,Verbs Tenses & Conjugation,13,26
un/une,utiliser les articles indéfinis 'un' (masculin) et 'une' (féminin) pour désigner un objet ou une personne non spécifique,"un tee-shirt
une voiture
un exemple
une aventure",A1,Nouns & Articles,14,27
genre du nom,identifier le genre du nom (masculin ou féminin) pour choisir le bon article indéfini,"un (avec nom masculin)
une (avec nom féminin)",A1,Nouns & Articles,14,28
un/une = un(e) ou un seul,comprendre que 'un' et 'une' peuvent signifier 'un(e)' ou 'un seul',une maison = a house / one house,A1,Nouns & Articles,15,29
négation avec de/d',remplacer 'un/une' par 'de/d'' dans une phrase négative,Un/une deviennent de/d' dans les phrases négatives en français,A1,Nouns & Articles,15,30
genre des noms (professions),utiliser la forme masculine ou féminine des noms de métier selon le genre de la personne,"Je suis avocat, dit Jim.
Je suis avocate, dit Tina.
Il y a un vendeur et une vendeuse.",A1,Nouns & Articles,16,31
accord en genre mixte,utiliser la forme masculine plurielle quand un groupe contient des personnes des deux genres,Luc et Sarah sont chanteurs.,A1,Nouns & Articles,16,32
articles définis (le/la),accorder l'article défini avec le genre du nom,"Le directeur rencontre la directrice.
Voilà le chanteur Charles Aznavour et la chanteuse Céline Dion.",A1,Nouns & Articles,17,33
articles indéfinis (un/une),accorder l'article indéfini avec le genre du nom,"Il y a un vendeur et une vendeuse.
Il y a un docteur et une doctoresse.",A1,Nouns & Articles,17,34
exceptions au genre,identifier les noms de métier qui ne changent pas de forme au féminin ou utilisent une structure différente,"Il y a un médecin et un médecin femme.
Le professeur (ou le prof) s'appelle Eric.
La professeure (ou la prof) s'appelle Noémie.",A1,Nouns & Articles,18,35
profession sans article,utiliser un nom de profession sans article indéfini après le verbe être,"Il est avocat.
Marie est avocate.
Je suis vendeur dans un grand magasin.
Paul est étudiant.
Je suis retraitée.",A1,Nouns & Articles,18,36
article avec adjectif,utiliser un article indéfini quand un adjectif qualificatif précède ou suit le nom de la profession,"Lisa est une très bonne vendeuse.
Maurice est un professeur excellent.
Vous êtes un mauvais avocat.",A1,Nouns & Articles,19,37
genre de la profession,accorder le nom de la profession selon le genre de la personne,"Il est avocat.
Marie est avocate.
Je suis vendeur.
Je suis retraitée.",A1,Nouns & Articles,19,38
avoir [nombre] ans,exprimer son âge en utilisant la structure avoir + nombre + ans,"J'ai quinze ans.
Tu as quarante ans.
Vous avez soixante-huit ans.",A1,"Idioms, Idiomatic Usage, and Structures",20,39
Quel âge,poser une question sur l'âge de quelqu'un de manière informelle ou formelle,"Quel âge as-tu ?
Quel âge avez-vous ?",A1,"Idioms, Idiomatic Usage, and Structures",20,40
ans,"ne pas omettre le mot 'ans' après le nombre, car l'expression serait incomplète","J'ai quinze — (incorrect, incompréhensible)
J'ai quinze ans. — (correct)",A1,"Idioms, Idiomatic Usage, and Structures",21,41
expression de date,pouvoir exprimer une date complète en français avec la structure correcte,"le 24 janvier 2012
le 3 mars 2013",A1,"Numbers, Time & Date",21,42
article défini,utiliser l'article défini 'le' devant une date car les dates sont toujours masculines,"le 11 juillet
le onze juillet",A1,"Numbers, Time & Date",22,43
nombre cardinal,utiliser un nombre cardinal (et non ordinal) pour exprimer le jour dans une date,"le 24 janvier 2012
le 3 mars 2013",A1,"Numbers, Time & Date",22,44
premier du mois,utiliser l'ordinal 'premier' uniquement pour le 1er jour du mois,le 1er avril 1997,A1,"Numbers, Time & Date",23,45
mois en minuscule,écrire les noms des mois sans majuscule en français,"janvier
mars
août
décembre",A1,"Numbers, Time & Date",23,46
lecture des années,lire les années avant 2000 de deux manières : en nombre complet ou en séparant les centaines,"1615 (mille six cent quinze)
1615 (seize cent quinze)
1900 (mille neuf cents)
1900 (dix-neuf cents)",A1,"Numbers, Time & Date",24,47
années après 2000,lire les années après 2000 uniquement comme un nombre cardinal complet,"2003 (deux mille trois)
2013 (deux mille treize)",A1,"Numbers, Time & Date",24,48
Qu'est-ce que c'est ?,poser une question pour demander ce qu'est quelque chose de manière neutre,"Qu'est-ce que c'est ?
What is it?",A1,Questions & Interrogatives,25,49
C'est quoi ?,poser une question informelle pour demander ce qu'est quelque chose,"C'est quoi ?
C'est quoi ça ?",A1,Questions & Interrogatives,25,50
Qu'est-ce que c'est que ça/cela ?,demander ce qu'est un objet spécifique en pointant quelque chose (proche ou distant),"Qu'est-ce que c'est que ça ?
Qu'est-ce que c'est que cela ?",A1,Questions & Interrogatives,26,51
forme contractée qu',utiliser la forme contractée de « que » devant un mot commençant par une voyelle ou un h muet,"Qu'est-ce qu'un stylo ?
Qu'est-ce que c'est qu'un stylo ?",A1,Questions & Interrogatives,26,52
Qu'est-ce que + nom,poser une question en insérant directement le nom de l’objet après l’expression interrogative,"Qu'est-ce que le Sacré Cœur à Paris ?
Qu'est-ce qu'un stylo ?",A1,Questions & Interrogatives,27,53
choix vs identification,utiliser « quel/quelle/quels/quelles » quand il s’agit d’un choix parmi plusieurs options,Which one is that? → Quel/quels/quelle/quelles ?,A1,Questions & Interrogatives,27,54
c'est,décrire quelque chose de manière générale,"C'est très ennuyeux !
C'est bleu.
Attention, c'est chaud !",A1,"Idioms, Idiomatic Usage, and Structures",28,55
adjectif après c'est,utiliser un adjectif au masculin singulier après c'est pour une description générale,"C'est très ennuyeux !
C'est bleu.
Attention, c'est chaud !",A1,"Idioms, Idiomatic Usage, and Structures",28,56
c'est vs il/elle est,distinguer l’usage général (c'est) de l’usage spécifique (il/elle est),,A1,"Idioms, Idiomatic Usage, and Structures",29,57
il y a,utiliser une expression fixe pour exprimer l'existence de quelque chose (singulier ou pluriel),"Il y a un oiseau dans mon jardin.
Dans ma maison, il y a cinq pièces.
À Paris, il y a la Tour Eiffel.
Dans ma chambre, il y a un lit, un bureau et une chaise.",A1,"Idioms, Idiomatic Usage, and Structures",29,58
le/la/l',utiliser l'article défini en fonction du genre du nom,"Le garçon mange une pomme.
La fille est jolie.
L'animal est timide.
Elle est dans l'hôtel.",A1,Nouns & Articles,30,59
genre du nom,identifier le genre (masculin ou féminin) d'un nom pour choisir le bon article défini,"Le garçon mange une pomme.
La fille est jolie.",A1,Nouns & Articles,30,60
élision,utiliser l'au lieu de le ou la devant un mot qui commence par une voyelle ou un h muet,"L'animal est timide.
Elle est dans l'hôtel.",A1,Nouns & Articles,31,61
les,utiliser l'article défini pluriel pour parler de choses ou personnes spécifiques au pluriel,"La voiture est devant les voitures.
Le chien joue avec les chiens.
Où est l'hôtel ? - Avec les autres hôtels.",A1,Nouns & Articles,31,62
des,utiliser l'article indéfini pluriel pour parler de choses ou personnes non spécifiques au pluriel,"Il y a un chat. - Non il y a des chats.
Une fille se promène avec des filles.
J'ai des fraises.",A1,Nouns & Articles,32,63
pluriel des noms,former le pluriel des noms en ajoutant -s à la fin du mot,"voiture → voitures
chien → chiens
hôtel → hôtels
chat → chats
fille → filles
fraise → fraises",A1,Nouns & Articles,32,64
partitif omis en anglais,comprendre que l'anglais omet 'some' mais le français exige un article partitif ou indéfini comme 'des',I have strawberries. → J'ai des fraises.,A1,Nouns & Articles,33,65
position adjectif après nom,utiliser un adjectif après le nom qu'il qualifie dans la majorité des cas,"Un masque vert
la maison bleue
la balle rouge",A1,Adjectives & Adverbs,33,66
adjectifs de classification,"placer l'adjectif après le nom lorsqu'il classe l'objet (forme, nature, fonction...)","la boîte ronde
un insecte amphibien
un animal sauvage
cotre un animal apprivoisé
le câble électrique",A1,Adjectives & Adverbs,34,67
adjectifs dérivés de noms propres,"utiliser l'adjectif après le nom et ne pas le capitaliser quand il vient d'un nom propre (pays, personne, religion...)","un sonnet shakespearien
une chanteuse russe
un pays musulman
le brouillard londonien
un chapeau texan",A1,Adjectives & Adverbs,34,68
adjectif suivi d'un complément,"placer l'adjectif après le nom s'il est suivi d'un complément introduit par une préposition (à, de, pour, comme...)","un exercice facile à faire
une fille jolie comme un cœur
une barrière haute de deux mètres
une casserole bonne pour la poubelle",A1,Adjectives & Adverbs,35,69
adjectif modifié par adverbe polysyllabique,mettre l'adjectif après le nom quand il est renforcé par un adverbe de deux syllabes ou plus,"une rumeur complètement fausse
une fille vraiment gentille
un paysage incroyablement beau",A1,Adjectives & Adverbs,35,70
adjectif avant nom - adverbe monosyllabique,placer l'adjectif avant le nom quand il est modifié par un adverbe d'une seule syllabe,un très joli manteau,A1,Adjectives & Adverbs,36,71
pluriel des noms,former le pluriel des noms réguliers en ajoutant -s,"J'ai un enfant et mon frère a trois enfants.
Il y a deux ballons bleus et un ballon rouge.
Je vois un petit chien et deux grands chiens.",A1,Nouns & Articles,36,72
noms invariables,"reconnaître que certains noms ne changent pas au pluriel s’ils finissent par -s, -x ou -z","Je vois une souris ! Je vois deux souris !
L'écureuil a une noix... non, deux noix !
Mon nez est petit, mais leurs nez sont gros.",A1,Nouns & Articles,37,73
#NAME?,savoir que le -s du pluriel n’est pas prononcé en français,Note que vous ne prononcez pas le -s du pluriel en français.,A1,Nouns & Articles,37,74
adjectif pluriel,utiliser la forme correcte d'un adjectif au pluriel en accord avec le nom,"un grand bol mais trois grands bols
une voiture verte et deux voitures vertes
la femme française mais les femmes françaises
un homme fort et des hommes forts",A1,Adjectives & Adverbs,38,75
accord de l'adjectif,faire s'accorder l'adjectif en genre et en nombre avec le nom qu'il qualifie,"une voiture verte et deux voitures vertes
la femme française mais les femmes françaises",A1,Adjectives & Adverbs,38,76
genre mixte,utiliser la forme masculine plurielle quand le groupe contient des personnes des deux genres,"Paul est petit, Sylvia est petite : ils sont petits.
Ma mère et mon père sont intéressants.",A1,Adjectives & Adverbs,39,77
Adjectifs avant le nom,utiliser des adjectifs courts et courants avant le nom,"la belle fille
le petit chien
la grande maison
la nouvelle voiture
une bonne idée
un vieux pull
le long chemin
une brève réunion
un joli chapeau
une mauvaise blague",A1,Adjectives & Adverbs,39,78
BAGS,"mémoriser les catégories d'adjectifs placés avant le nom (Beauté, Âge, Bonté, Taille)","beau / joli = beauté
vieux / jeune = âge
bon / mauvais = bonté
grand / petit = taille",A1,Adjectives & Adverbs,40,79
Adjectifs après le nom (exceptions),placer certains adjectifs après le nom quand ils sont suivis d'un adverbe long ou d'un complément introduit par une préposition,"un bon vin, mais un vin extrêmement bon
une bonne voiture, mais une voiture bonne pour la casse",A1,Adjectives & Adverbs,40,80
aller présent,conjuguer les verbes irréguliers à la première personne du singulier (je vais),Je vais à l'école.,A1,Verbs Tenses & Conjugation,41,81
aller présent,conjuguer les verbes irréguliers à la deuxième personne du singulier informel (tu vas),"Tu vas au travail.
Où tu vas ?",A1,Verbs Tenses & Conjugation,41,82
aller présent,conjuguer les verbes irréguliers à la deuxième personne du pluriel ou formel (vous allez),"Vous allez chez le docteur.
Où vous allez ?",A1,Verbs Tenses & Conjugation,42,83
tu vs vous,utiliser le bon pronom sujet selon le niveau de formalité ou le nombre de personnes,"tu pour une personne familière
vous pour une personne formelle ou plusieurs personnes",A1,Verbs Tenses & Conjugation,42,84
avoir chaud/froid,utiliser un idiome avec 'avoir' pour exprimer une sensation physique (être chaud/froid),"Tu as froid ?
Oui, j'ai froid.
Marie : J'ai chaud.
Vous avez froid.",A1,"Idioms, Idiomatic Usage, and Structures",43,85
adjectif invariable,reconnaître qu’un adjectif idiomatique ne s’accorde pas en genre ou en nombre,"J'ai chaud (et non *chaude)
Vous avez froid (et non *froids)",A1,"Idioms, Idiomatic Usage, and Structures",43,86
je veux / je voudrais,utiliser 'je veux' pour exprimer un désir direct et 'je voudrais' pour formuler une demande polie,"Je veux une glace !
Je voudrais un coca, s'il te plaît.
Je veux un câlin.
Je voudrais un câlin.",A1,"Idioms, Idiomatic Usage, and Structures",44,87
Le Présent,utiliser le présent de l'indicatif pour exprimer un fait ou un désir immédiat,"Je veux une glace !
Je veux un câlin.",A1,"Idioms, Idiomatic Usage, and Structures",44,88
Le Conditionnel Présent,utiliser le conditionnel présent pour formuler une demande de manière polie ou nuancée,"Je voudrais un coca, s'il te plaît.
Je voudrais un câlin.",A1,"Idioms, Idiomatic Usage, and Structures",45,89
formules de politesse,préférer le conditionnel ou 'j'aimerais' dans les interactions sociales pour paraître respectueux,"Je voudrais un coca, s'il te plaît.
[Note that j'aimerais (I would like) is also very commonly used in more polite contexts.]",A1,"Idioms, Idiomatic Usage, and Structures",45,90
avoir faim / soif,exprimer un état physiologique (faim ou soif) avec le verbe avoir,"J'ai faim.
Tu as soif.
Vous avez faim, les enfants ?",A1,"Idioms, Idiomatic Usage, and Structures",46,91
idiomes avec avoir,utiliser des expressions figées avec le verbe avoir pour décrire des sensations,"J'ai faim.
Tu as soif.",A1,"Idioms, Idiomatic Usage, and Structures",46,92
faire - présent,"Conjuguer le verbe 'faire' aux formes je, tu, vous au présent de l’indicatif pour exprimer des actions quotidiennes.","Je fais un gâteau.
Je fais mes devoirs.
Tu fais du sport ?
Tu fais quoi ?
Vous faites quoi ?",A1,Verbs Tenses & Conjugation,47,93
tu vs vous,"Utiliser correctement les pronoms sujets 'tu' (informel, singulier) et 'vous' (formel ou pluriel) pour s’adresser à quelqu’un en français.","Tu fais quoi ?
Vous faites quoi ?",A1,Verbs Tenses & Conjugation,47,94
verbe irrégulier,Reconnaître que 'faire' est un verbe irrégulier et qu’il ne suit pas la conjugaison standard des verbes en -er.,"Je fais
Tu fais
Vous faites",A1,Verbs Tenses & Conjugation,48,95
il,utiliser un pronom sujet pour remplacer un nom masculin ou une personne de sexe masculin,"Jean travaille dans le club. - Il travaille dans le club.
Le stylo est sur la table. - Il est sur la table.",A1,Pronouns,48,96
elle,utiliser un pronom sujet pour remplacer un nom féminin ou une personne de sexe féminin,La fleur est jolie. - Elle est jolie.,A1,Pronouns,49,97
ils,"utiliser un pronom sujet pour remplacer un groupe de personnes ou de choses au pluriel, masculin ou mixte",Jean et Paul vont au cinéma. - Ils vont au cinéma.,A1,Pronouns,49,98
elles,utiliser un pronom sujet pour remplacer un groupe de personnes ou de choses féminines au pluriel,Les fleurs sont jolies. - Elles sont jolies.,A1,Pronouns,50,99
pronom sujet,remplacer un nom par un pronom sujet selon le genre et le nombre pour éviter la répétition,"Jean travaille dans le club. - Il travaille dans le club.
La fleur est jolie. - Elle est jolie.
Jean et Paul vont au cinéma. - Ils vont au cinéma.
Les fleurs sont jolies. - Elles sont jolies.",A1,Pronouns,50,100
on (pour nous),utiliser le pronom sujet 'on' pour dire 'nous' dans un contexte informel ou familier,"On est très proches, ma soeur et moi.
On va au cinéma ce soir.
On y va!",A1,Pronouns,51,101
on vs nous,distinguer l'usage de 'on' et 'nous' avec la conjugaison du verbe,On est gentils. / Nous sommes gentils.,A1,Pronouns,51,102
on (général),"utiliser 'on' pour exprimer une idée générale, comme 'on', 'les gens' ou 'vous'","Si on travaille dur, on gagne plus.
On ne doit pas parler la bouche pleine.",A1,Pronouns,52,103
avoir au présent,conjuguer un verbe irrégulier au présent de l'indicatif,"j'ai
tu as
il/elle/on a
nous avons
vous avez
ils/elles ont",A1,Verbs Tenses & Conjugation,52,104
verbe irrégulier,reconnaître et utiliser un verbe qui ne suit pas les règles de conjugaison standard,"avoir est irrégulier
il n'a pas la même conjugaison qu'un verbe en -oir comme 'recevoir'",A1,Verbs Tenses & Conjugation,53,105
exemples avec avoir,utiliser le verbe avoir au présent dans des phrases simples,"J'ai un chien.
Tu as une sœur.
Il a les yeux bleus.
Nous avons deux chats.
Vous avez les mêmes yeux.
Ils ont un bébé.",A1,Verbs Tenses & Conjugation,53,106
nous/vous/ils/elles,utiliser un pronom sujet pluriel pour remplacer un sujet composé,"Jean et moi
jouons aux cartes.
Nous
jouons aux cartes.
Sarah et ma soeur
sont sympas.
Elles
sont sympas.
M. Dupont et Mme Vichy
se connaissent.
Ils
se connaissent.
Sarah et toi
êtes amis.
Vous
êtes amis.",A1,Verbs Tenses & Conjugation,54,107
sujet composé,"remplacer plusieurs sujets par un pronom sujet pluriel (nous, vous, ils, elles)","person(s) + moi = nous
person(s) + toi = vous
person(s) + person(s) = ils (groupe mixte ou masculin) ou elles (groupe féminin)",A1,Verbs Tenses & Conjugation,54,108
nous vs on,utiliser les pronoms sujets 'nous' et 'on' pour exprimer 'nous' en fonction du niveau de formalité,"Nous sommes gentils.
On est gentils.
Nous allons au marché.
On va au marché.",A1,Pronouns,55,109
nous,utiliser 'nous' comme pronom sujet pluriel à l'écrit ou dans un contexte formel,"Nous sommes gentils.
Nous allons au marché.",A1,Pronouns,55,110
on,"utiliser 'on' comme pronom sujet informel, suivi d'un verbe à la troisième personne du singulier","On est gentils.
On va au marché.",A1,Pronouns,56,111
du/de la/de l'/des,"utiliser les articles partitifs pour exprimer une quantité indéterminée (du, de la, de l', des = some/any)","Tu veux du café ?
Je mets de la confiture sur ma tartine.
Tu as de l'argent ?
Tu veux des épinards ?
Est-ce que tu as de la farine ?",A1,Nouns & Articles,56,112
des (pluriel),utiliser 'des' pour dire 'some' avec des noms dénombrables au pluriel,Il y a des chiens dans ce parc.,A1,Nouns & Articles,57,113
du (masculin),utiliser 'du' pour dire 'some' avec un nom masculin indénombrable,Il achète du pain.,A1,Nouns & Articles,57,114
de la (féminin),utiliser 'de la' pour dire 'some' avec un nom féminin indénombrable,Je mange de la confiture.,A1,Nouns & Articles,58,115
de l' (voyelle/muet),utiliser 'de l'' avec un nom singulier qui commence par une voyelle ou un h muet,Tu achètes de l'huile.,A1,Nouns & Articles,58,116
chocolat (ambigu),distinguer l'usage de 'du chocolat' (masse) et 'des chocolats' (objets dénombrables),"J'ai des chocolats dans ma poche.
Je veux du chocolat tout de suite.",A1,Nouns & Articles,59,117
négation,remplacer les articles partitifs par 'de' ou 'd'' dans les phrases négatives,,A1,Nouns & Articles,59,118
adjectif féminin -e muet,former l'adjectif féminin sans changement quand l'adjectif masculin se termine déjà par -e muet,"un rat gris et une souris grise
un sac rouge et une robe rouge
un garçon timide et une fille timide
le bras gauche et la main gauche",A1,Adjectives & Adverbs,60,119
ne ... pas,utiliser la négation simple avec un verbe conjugué pour exprimer 'ne pas',"Je ne suis pas grande.
Je n'ai pas de frère.
Tu n'écoutes pas Alice.
Ce n'est pas bleu !
Ce n'est pas très gentil de sa part.",A1,Negative Words & Constructions,60,120
élision de 'ne',remplacer 'ne' par 'n'' devant une voyelle ou un h muet,"Je n'ai pas de frère.
Tu n'écoutes pas Alice.
Ce n'est pas bleu !",A1,Negative Words & Constructions,61,121
négation avec 'c'est',former la négation de 'c'est' en disant 'ce n'est pas',"C'est bleu ? Non, ce n'est pas bleu !
Ce n'est pas très gentil de sa part.",A1,Negative Words & Constructions,61,122
un/une devient de/d',"utiliser de ou d' à la place de un/une dans une phrase négative pour exprimer l'absence (pas de, aucun de)","Il a une voiture. - Non, il n'a pas de voiture !
Tu as un animal de compagnie ? - Non je n'ai pas d'animal de compagnie.
J'ai un frère mais je n'ai pas de sœur !",A1,Negative Words & Constructions,62,123
verbes d'état,"ne pas changer l'article indéfini après une négation quand le verbe est un verbe d'état (être, devenir, rester, etc.)","Je ne suis pas une menteuse !
Mon chien n'est pas un labrador.
Il reste un ami loyal. - Non, il ne reste pas un ami loyal !
Elle est devenue une excellente danseuse. - Non, elle n'est pas devenue une excellente danseuse !",A1,Negative Words & Constructions,62,124
emphase sur un/une,"garder un/une dans une phrase négative quand on veut insister sur le nombre (un seul, pas plusieurs)","Ils n'ont pas une maison, mais deux !",A1,Negative Words & Constructions,63,125
adjectif de couleur simple,utiliser l'adjectif de couleur qui s'accorde en genre et en nombre avec le nom,"J'ai deux chiens marron et une souris marron.
Elle a un sac orange et deux écharpes orange.",A1,Adjectives & Adverbs,63,126
adjectif invariable,"reconnaître que certains adjectifs de couleur (marron, orange) ne changent jamais","marron
orange",A1,Adjectives & Adverbs,64,127
adjectif avec -e muet,"savoir que les couleurs finissant par -e muet (jaune, rose, rouge) ne changent pas au féminin","Je vois un soleil jaune et une fleur jaune.
Je dessine un nuage rose et une panthère rose.",A1,Adjectives & Adverbs,64,128
brun vs marron,"différencier l'usage de brun (cheveux, peau, fourrure) et marron (autres cas)",Daniel a les yeux marron et les cheveux bruns.,A1,Adjectives & Adverbs,65,129
accord des adjectifs composés ou dérivés,utiliser la forme invariable pour les noms de couleurs composés ou dérivés d'objets,"bleu
vert
gris
noir
blanc",A1,Adjectives & Adverbs,65,130
position de l'adjectif,placer l'adjectif après le nom dans la majorité des cas en français,"un chapeau rouge
deux boucles d'oreille rouges
un chat noir sur une chaise noire",A1,Adjectives & Adverbs,66,131
partitif négatif,utiliser la forme négative des articles partitifs (de/d') à la place de du/de la/de l'/des dans les phrases négatives,"Je ne mange pas de pommes.
Je ne bois pas de lait.
Je n'ai pas d'animaux.
Nous n'avons pas bu de bière.
Nous ne mangeons jamais de viande.
Je ne fais plus de natation.",A1,Negative Words & Constructions,66,132
verbes d'état,"garder l'article partitif inchangé après les verbes d'état comme être, devenir, sembler, etc. même dans une phrase négative","Ce n'est pas du sel de Guérande.
Ce n'est pas de l'huile d'olive.
Le plomb ne devient pas de l'or !",A1,Negative Words & Constructions,67,133
articles définis,"ne pas changer les articles définis (le, la, l', les) dans les phrases négatives",Je n'aime pas le chocolat.,A1,Negative Words & Constructions,67,134
être au présent,Conjuguer le verbe être à la forme présente pour exprimer un état ou une caractéristique actuelle.,"Je suis en retard.
Tu es jolie.
Il est grand.
Elle est gentille.
Nous sommes frères.
Vous êtes soeurs jumelles.
Ils sont irlandais.
Elles sont françaises.",A1,Verbs Tenses & Conjugation,68,135
Quoi ?,poser une question simple de manière informelle ou impolie,Tu veux du thé ? - Quoi ?,A1,Questions & Interrogatives,68,136
Comment ?,demander une clarification de manière polie,Tu veux du thé ? - Comment ?,A1,Questions & Interrogatives,69,137
Qu'est-ce que,"former une question avec 'quoi' en début de phrase, suivi de l'ordre normal de la phrase","Qu'est-ce que tu fais ?
Qu'est-ce que c'est ?
Qu'est-ce qu'il mange ?",A1,Questions & Interrogatives,69,138
quoi à la fin,ajouter 'quoi' à la fin d'une phrase pour former une question informelle,"Tu fais quoi ?
C'est quoi ?
Il mange quoi ?",A1,Questions & Interrogatives,70,139
inversion avec que,poser une question formelle en inversant le sujet et le verbe après 'que',,A1,Questions & Interrogatives,70,140
est-ce que,introduire une question fermée (oui/non) ou ouverte en position initiale,,A1,Questions & Interrogatives,71,141
c'est,"utiliser 'c'est' pour présenter ou exprimer une opinion sur une chose, une personne ou un concept de manière générale ou non spécifique","C'est une jolie robe.
C'est un livre intéressant.
C'est ma sœur.
C'est passionnant !
C'est délicieux !",A1,Pronouns,71,142
il est / elle est,utiliser 'il est' ou 'elle est' pour décrire une caractéristique ou un état d'une chose ou personne spécifique déjà mentionnée,"Tu aimes mon pull ? - Oui, il est très beau.
Où est ta tasse ? - Elle est sur la table.
Et le lit ? - Il est encore dans le camion.",A1,Pronouns,72,143
